"kodjaz","typvaz","akrcis1","kodcis1","chodnota1","text1","akrcis2","kodcis2","chodnota2","text2"
"CS","Editační vazba","KRAJ_NUTS",100,"3000","Extra-Regio","OKRES_NUTS",101,"40002","Extra-Regio"
"CS","Editační vazba","KRAJ_NUTS",100,"3018","Hlavní město Praha","OKRES_NUTS",101,"40924","Praha"
"CS","Editační vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","OKRES_NUTS",101,"40169","Benešov"
"CS","Editační vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","OKRES_NUTS",101,"40177","Beroun"
"CS","Editační vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","OKRES_NUTS",101,"40185","Kladno"
"CS","Editační vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","OKRES_NUTS",101,"40193","Kolín"
"CS","Editační vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","OKRES_NUTS",101,"40207","Kutná Hora"
"CS","Editační vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","OKRES_NUTS",101,"40215","Mělník"
"CS","Editační vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","OKRES_NUTS",101,"40223","Mladá Boleslav"
"CS","Editační vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","OKRES_NUTS",101,"40231","Nymburk"
"CS","Editační vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","OKRES_NUTS",101,"40240","Praha-východ"
"CS","Editační vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","OKRES_NUTS",101,"40258","Praha-západ"
"CS","Editační vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","OKRES_NUTS",101,"40266","Příbram"
"CS","Editační vazba","KRAJ_NUTS",100,"3026","Středočeský kraj","OKRES_NUTS",101,"40274","Rakovník"
"CS","Editační vazba","KRAJ_NUTS",100,"3034","Jihočeský kraj","OKRES_NUTS",101,"40282","České Budějovice"
"CS","Editační vazba","KRAJ_NUTS",100,"3034","Jihočeský kraj","OKRES_NUTS",101,"40291","Český Krumlov"
"CS","Editační vazba","KRAJ_NUTS",100,"3034","Jihočeský kraj","OKRES_NUTS",101,"40304","Jindřichův Hradec"
"CS","Editační vazba","KRAJ_NUTS",100,"3034","Jihočeský kraj","OKRES_NUTS",101,"40312","Písek"
"CS","Editační vazba","KRAJ_NUTS",100,"3034","Jihočeský kraj","OKRES_NUTS",101,"40321","Prachatice"
"CS","Editační vazba","KRAJ_NUTS",100,"3034","Jihočeský kraj","OKRES_NUTS",101,"40339","Strakonice"
"CS","Editační vazba","KRAJ_NUTS",100,"3034","Jihočeský kraj","OKRES_NUTS",101,"40347","Tábor"
"CS","Editační vazba","KRAJ_NUTS",100,"3042","Plzeňský kraj","OKRES_NUTS",101,"40355","Domažlice"
"CS","Editační vazba","KRAJ_NUTS",100,"3042","Plzeňský kraj","OKRES_NUTS",101,"40363","Klatovy"
"CS","Editační vazba","KRAJ_NUTS",100,"3042","Plzeňský kraj","OKRES_NUTS",101,"40371","Plzeň-město"
"CS","Editační vazba","KRAJ_NUTS",100,"3042","Plzeňský kraj","OKRES_NUTS",101,"40380","Plzeň-jih"
"CS","Editační vazba","KRAJ_NUTS",100,"3042","Plzeňský kraj","OKRES_NUTS",101,"40398","Plzeň-sever"
